date,open,high,low,close,volume
2018-03-29,18.2,18.5,15.44,15.55,79752900
2018-04-02,16.19,16.48,15.62,15.7,15287800
2018-04-03,16.35,16.5,15.9,16.0,7994100
2018-04-04,15.36,15.8,15.3,15.67,9866600
2018-04-05,16.02,16.231,15.91,16.04,4216500
2018-04-06,15.97,16.05,15.82,16.02,3493800
2018-04-09,16.25,16.51,16.02,16.41,4265700
2018-04-10,16.74,17.74,16.52,17.41,7024400
2018-04-11,17.45,18.18,17.2,18.07,9231100
2018-04-12,18.5,19.4,18.2,19.04,12292700
2018-04-13,19.3,19.41,18.3,19.34,10007700
2018-04-16,19.5,19.94,19.1,19.74,6404800
2018-04-17,20.0,20.5,19.5,19.63,9237200
2018-04-18,19.75,19.75,18.67,18.95,5473800
2018-04-19,18.75,18.75,18.23,18.34,5656700
2018-04-20,18.17,18.27,17.64,17.81,3565600
2018-04-23,18.06,18.859,18.0,18.24,4250600
2018-04-24,19.01,19.25,18.5,18.53,5376700
2018-04-25,18.5,18.75,17.75,18.01,3328900
2018-04-26,18.69,18.8,18.2,18.75,6566200
2018-04-27,18.62,19.08,17.44,17.99,6838100
2018-04-30,18.18,18.6,17.88,18.03,2659800
2018-05-01,17.92,18.0,17.29,17.6,2653200
2018-05-02,17.7,17.79,16.97,17.3,2471800
2018-05-03,17.23,17.3,15.79,16.39,10376600
2018-05-04,16.74,16.74,16.02,16.17,5002400
2018-05-07,16.25,16.98,16.2,16.34,3929100
2018-05-08,16.8,16.84,16.3,16.72,3474100
2018-05-09,17.0,18.73,16.93,18.62,6231000
2018-05-10,18.8,23.15,18.67,20.72,20345600
2018-05-11,21.81,22.4,20.0,20.52,12479700
2018-05-14,21.0,22.23,20.9,21.83,11584000
2018-05-15,21.69,22.35,21.17,21.43,9922700
2018-05-16,21.52,21.59,20.1,20.43,10603000
2018-05-17,20.74,21.1,19.7,20.33,7870300
2018-05-18,20.28,20.67,19.91,20.08,6679400
2018-05-21,20.58,20.99,20.0,20.26,6694100
2018-05-22,20.51,22.65,20.4,22.52,13962600
2018-05-23,22.11,23.6,22.01,23.0,13464500
2018-05-24,23.0,23.76,22.9,22.94,9450500
2018-05-25,22.91,23.05,22.28,22.79,5005700
2018-05-29,22.8,23.24,22.6,23.08,6840500
2018-05-30,23.57,25.99,23.301,25.71,16874000
2018-05-31,26.264,26.45,24.43,25.3,13954800
2018-06-01,25.8,28.94,25.58,28.46,21683500
2018-06-04,29.87,32.4,28.05,29.19,41717000
2018-06-05,29.5,29.72,27.75,29.26,20472100
2018-06-06,30.05,30.15,28.6,29.0,15916300
2018-06-07,29.0,30.99,29.0,30.85,17517200
2018-06-08,30.7,34.35,30.124,32.82,33587900
2018-06-11,34.28,35.546,33.55,34.51,32281000
2018-06-12,35.85,35.95,33.62,34.52,23119200
2018-06-13,34.98,35.24,34.18,34.75,15276200
2018-06-14,35.45,40.9,35.04,40.51,45242200
2018-06-15,40.545,43.234,37.57,40.16,61965400
2018-06-18,39.9,43.95,39.11,43.93,42030300
2018-06-19,43.01,46.23,40.5,42.58,58605800
2018-06-20,45.19,45.5,41.41,44.2,43572400
2018-06-21,43.991,44.46,37.8,38.83,57277900
2018-06-22,38.89,39.8,35.11,36.29,52776400
2018-06-25,33.39,34.55,32.6,32.88,42472700
2018-06-26,34.881,36.04,33.85,36.03,34969900
2018-06-27,37.52,38.3,31.0,31.22,52691000
2018-06-28,30.75,33.2,30.2,31.95,40945500
2018-06-29,33.498,33.75,31.71,32.3,23663400
2018-07-02,31.69,32.99,30.91,32.8,19951000
2018-07-03,33.12,34.21,32.55,32.98,17959100
2018-07-05,31.1,33.5,30.3,31.19,30124600
2018-07-06,29.32,31.17,28.94,29.92,37612200
2018-07-09,30.82,32.35,29.82,31.82,35544000
2018-07-10,31.47,32.42,30.8,31.17,28030700
2018-07-11,30.04,31.98,30.01,31.64,28357700
2018-07-12,32.2,35.08,31.83,35.04,49430200
2018-07-13,34.5,35.4,33.23,33.95,26115200
2018-07-16,34.63,37.0,34.2,36.93,39050000
2018-07-17,35.2,37.75,35.01,37.0,34024900
2018-07-18,37.47,38.11,35.55,35.96,29555300
2018-07-19,35.497,36.15,32.51,32.65,32400000
2018-07-20,32.67,33.52,31.6,33.27,26979600
2018-07-23,33.23,33.74,32.18,32.44,14634900
2018-07-24,32.9,33.5,30.85,31.6,26763300
2018-07-25,31.8,33.579,31.24,33.53,21659800
2018-07-26,32.9,33.85,32.62,33.03,12663100
2018-07-27,33.43,33.53,31.8,32.15,12424700
2018-07-30,31.63,31.94,30.05,30.74,17414500
2018-07-31,31.0,32.19,30.052,32.02,19888200
2018-08-01,32.9,33.56,31.61,32.09,27960000
2018-08-02,30.5,30.87,29.61,30.42,20784400
2018-08-03,30.4,30.4,28.01,28.5,23358100
2018-08-06,28.94,29.63,28.67,29.11,11879300
2018-08-07,29.5,30.77,29.22,30.14,15054500
2018-08-08,30.35,30.54,28.84,29.1,9321500
2018-08-09,29.5,30.08,28.88,29.17,8196900
2018-08-10,28.6,29.4,28.47,29.4,7521000
2018-08-13,29.41,30.09,28.32,28.47,8905300
2018-08-14,27.89,28.14,26.41,26.89,16618600
2018-08-15,25.14,26.4,24.58,26.13,18834100
2018-08-16,26.85,27.3,26.0,26.02,9721500
2018-08-17,25.91,26.99,25.03,26.38,11258100
2018-08-20,27.05,28.8,26.65,28.09,16399100
2018-08-21,29.08,29.79,28.75,29.0,14936600
2018-08-22,28.92,29.695,28.66,28.81,8473100
2018-08-23,29.28,29.92,28.19,28.61,12383800
2018-08-24,29.06,29.39,28.5,28.65,7932400
2018-08-27,29.6,31.97,29.56,31.12,23904500
2018-08-28,32.25,32.46,29.71,30.5,15197600
2018-08-29,30.4,30.79,29.86,30.39,7640900
2018-08-30,29.9,30.39,29.1,29.44,9090200
2018-08-31,29.05,29.69,28.76,28.9,6848300
2018-09-04,29.1,29.335,27.91,28.52,8770800
2018-09-05,28.0,28.0,26.75,27.16,10439100
2018-09-06,27.5,28.15,26.51,27.0,7446700
2018-09-07,26.57,28.03,26.56,27.16,6608800
2018-09-10,27.19,27.68,26.35,26.94,6549200
2018-09-11,26.4,27.3,26.0,26.69,7174900
2018-09-12,26.6,28.7,26.36,28.59,14508400
2018-09-13,29.65,30.9,29.25,30.29,19391600
2018-09-14,30.5,30.51,28.56,28.56,10710400
2018-09-17,27.69,28.25,26.68,26.84,11794900
2018-09-18,27.39,27.48,26.049,26.33,11963400
2018-09-19,26.53,28.12,26.49,27.72,8990300
2018-09-20,28.03,28.489,26.95,27.43,7737200
2018-09-21,27.81,27.85,26.2,26.25,12590100
2018-09-24,25.52,26.23,24.86,25.89,13843300
2018-09-25,26.12,27.03,26.02,26.5,7560200
2018-09-26,26.72,27.85,26.4,27.0,11048900
2018-09-27,27.11,28.36,27.01,27.75,8310100
2018-09-28,27.75,28.35,26.96,27.07,9645800
2018-10-01,27.0,27.4,26.7,26.91,6778700
2018-10-02,26.51,26.84,25.7,26.47,10778800
2018-10-03,26.87,27.38,26.65,26.89,8179700
2018-10-04,26.45,26.57,25.0,25.31,16067700
2018-10-05,25.25,25.975,24.81,25.49,9219200
2018-10-08,24.95,26.5,24.73,26.44,8775700
2018-10-09,26.27,26.59,25.71,25.96,5364500
2018-10-10,25.96,26.19,24.58,24.6,10138900
2018-10-11,24.01,25.11,23.66,24.87,11036500
2018-10-12,25.71,26.44,25.215,26.0,11288700
2018-10-15,25.51,26.25,25.22,26.1,9971200
